comparison,effrank_delta,pr_delta,kappa_delta,anisotropy_delta,centroid_distance,radius_delta,effrank_sign,pr_sign,kappa_sign,anisotropy_sign,regime_code,regime_label,movement_level,reorg_level,transformation_type,shape_modifier,short_summary_phrase,summary_phrase
BLAD/TCC,-0.41000000000000014,0.03242986832782613,-61.129999999999995,0.02567274588747087,38.86635078543544,-2.197591639938583,down,up,down,up,A,anisotropic expansion,high movement,high reorganization,combined shift + reorganization,reduced axis dominance but increased anisotropy,BLAD/TCC anisotropic expansion combined shift + reorganization,BLAD/TCC: tumor shows anisotropic expansion with both strong positional movement and substantial internal restructuring; reduced axis dominance but increased anisotropy.
Brain/MB,-0.08000000000000007,0.8436079751323309,-92.33,-0.13661042197450368,33.63082454360858,1.24023112775485,down,up,down,down,A,anisotropic expansion,high movement,low reorganization,geometric shift,reduced axis dominance and reduced anisotropy,Brain/MB anisotropic expansion geometric shift,Brain/MB: tumor shows anisotropic expansion with large positional movement but limited internal restructuring; reduced axis dominance and reduced anisotropy.
PB/B-ALL,-0.5999999999999999,1.4463358645577131,-20.840000000000003,-0.2936013891509025,30.366979542127616,-2.489392893435266,down,up,down,down,A,anisotropic expansion,high movement,high reorganization,combined shift + reorganization,reduced axis dominance and reduced anisotropy,PB/B-ALL anisotropic expansion combined shift + reorganization,PB/B-ALL: tumor shows anisotropic expansion with both strong positional movement and substantial internal restructuring; reduced axis dominance and reduced anisotropy.
GC/FL,-0.06000000000000005,2.003310567031254,-18.159999999999997,-0.40657474858556,28.37936460486526,-0.8972040594178985,down,up,down,down,A,anisotropic expansion,high movement,low reorganization,geometric shift,reduced axis dominance and reduced anisotropy,GC/FL anisotropic expansion geometric shift,GC/FL: tumor shows anisotropic expansion with large positional movement but limited internal restructuring; reduced axis dominance and reduced anisotropy.
PB/T-ALL,-0.76,0.4291299579818415,20.92,-0.10568803076508317,27.368326967640986,-4.196745274578296,down,up,up,down,A,anisotropic expansion,high movement,high reorganization,combined shift + reorganization,increased axis dominance but reduced anisotropy,PB/T-ALL anisotropic expansion combined shift + reorganization,PB/T-ALL: tumor shows anisotropic expansion with both strong positional movement and substantial internal restructuring; increased axis dominance but reduced anisotropy.
UT/EAC,-0.8,2.396519305541803,15.459999999999994,-0.4287734720048387,26.499227794457173,4.971990788756795,down,up,up,down,A,anisotropic expansion,low movement,high reorganization,structural reorganization,increased axis dominance but reduced anisotropy,UT/EAC anisotropic expansion structural reorganization,UT/EAC: tumor shows anisotropic expansion with modest positional movement but substantial internal restructuring; increased axis dominance but reduced anisotropy.
OV/OVAD,-0.44000000000000017,0.2688214212111162,0.7099999999999937,-0.033563957336217753,25.847101081968628,10.346574058061034,down,up,up,down,A,anisotropic expansion,low movement,high reorganization,structural reorganization,increased axis dominance but reduced anisotropy,OV/OVAD anisotropic expansion structural reorganization,OV/OVAD: tumor shows anisotropic expansion with modest positional movement but substantial internal restructuring; increased axis dominance but reduced anisotropy.
GC/LBCL,-0.040000000000000036,3.010937090593351,-42.05,-0.514816433719397,25.546049531332788,-6.640294698551418,down,up,down,down,A,anisotropic expansion,low movement,low reorganization,limited transformation,reduced axis dominance and reduced anisotropy,GC/LBCL anisotropic expansion limited transformation,GC/LBCL: tumor shows anisotropic expansion with only limited positional and structural change; reduced axis dominance and reduced anisotropy.
PA/PAAD,0.6700000000000002,-0.4126039459394013,-79.83,0.07047588058699283,24.020789985553503,1.7063534455500289,up,down,down,up,B,compression / canalization,low movement,high reorganization,structural reorganization,reduced axis dominance but increased anisotropy,PA/PAAD compression / canalization structural reorganization,PA/PAAD: tumor shows compression or canalization with modest positional movement but substantial internal restructuring; reduced axis dominance but increased anisotropy.
KID/RCC,0.98,-0.21424792979112528,25.21999999999997,0.0433611929788108,17.16409086737303,11.137916380722046,up,down,up,up,B,compression / canalization,low movement,high reorganization,structural reorganization,increased axis dominance and increased anisotropy,KID/RCC compression / canalization structural reorganization,KID/RCC: tumor shows compression or canalization with modest positional movement but substantial internal restructuring; increased axis dominance and increased anisotropy.
BR/BRAD,0.1200000000000001,1.2251617956367566,-35.31,-0.22875755144971843,35.51757903830363,4.361136175296636,up,up,down,down,C,uniform expansion,high movement,low reorganization,geometric shift,reduced axis dominance and reduced anisotropy,BR/BRAD uniform expansion geometric shift,BR/BRAD: tumor shows relatively uniform expansion with large positional movement but limited internal restructuring; reduced axis dominance and reduced anisotropy.
Brain/GBM,0.029999999999999805,1.3101064058543228,-111.78,-0.16402757649088534,26.573302833562675,4.097759026755892,up,up,down,down,C,uniform expansion,high movement,low reorganization,geometric shift,reduced axis dominance and reduced anisotropy,Brain/GBM uniform expansion geometric shift,Brain/GBM: tumor shows relatively uniform expansion with large positional movement but limited internal restructuring; reduced axis dominance and reduced anisotropy.
COL/COADREAD,0.3900000000000001,0.28044173719284293,-105.12999999999998,-0.00564319915816746,25.23761229507801,8.350077737549444,up,up,down,down,C,uniform expansion,low movement,low reorganization,limited transformation,reduced axis dominance and reduced anisotropy,COL/COADREAD uniform expansion limited transformation,COL/COADREAD: tumor shows relatively uniform expansion with only limited positional and structural change; reduced axis dominance and reduced anisotropy.
