comparison,normal_tissue,tumor_disease,n_normal,n_tumor,pr_normal,pr_tumor,pr_delta,eig_entropy_normal,eig_entropy_tumor,eig_entropy_delta,anisotropy_normal,anisotropy_tumor,anisotropy_delta,radius_normal,radius_tumor,radius_delta,centroid_distance,normal_code,tumor_code
BLAD/TCC,Bladder,bladder transitional cell carcinoma,7,11,2.86803851183479,3.4162808471943076,0.5482423353595176,1.2101049883092332,1.4300026396276098,0.21989765131837657,0.4853027332507154,0.4157300734730262,-0.06957265977768917,20.93658322978005,20.135148331250807,-0.8014348985292443,37.07993496150649,BLAD,TCC
BR/BRAD,Breast,breast adenocarcinoma,5,11,1.6539033992119478,2.879065194848706,1.225161795636758,0.6545324113115601,1.318833369103061,0.6643009577915008,0.7404036363209503,0.5116460848712318,-0.22875755144971854,25.81744221691905,30.178578392215687,4.361136175296636,35.51757903830364,BR,BRAD
Brain/GBM,Brain,glioblastoma,8,10,2.591653853324867,3.901760259179188,1.3101064058543206,1.140887120454894,1.5786775455176283,0.43779042506273425,0.5396270644054489,0.37559948791456393,-0.164027576490885,17.914772356382333,22.012531383138224,4.097759026755892,26.573302833562675,Brain,GBM
Brain/MB,Brain,medulloblastoma,8,10,2.591653853324867,3.435261828457199,0.8436079751323318,1.140887120454894,1.4284628092005875,0.2875756887456935,0.5396270644054489,0.40301664243094537,-0.13661042197450357,17.914772356382333,19.155003484137183,1.24023112775485,33.63082454360858,Brain,MB
COL/COADREAD,Colon,colorectal adenocarcinoma,11,11,2.5342540424340028,2.814695779626848,0.28044173719284515,1.1519709633944129,1.3529362239632756,0.20096526056886277,0.5462907903795624,0.5406475912213946,-0.0056431991581678,19.35833405043321,27.708411787982655,8.350077737549444,25.23761229507801,COL,COADREAD
GC/FL,Lymphoid Tissue,Follicular lymphoma,6,11,1.3852579870803194,3.772357783545929,2.3870997964656095,0.5536165999874121,1.5369144090149809,0.9832978090275688,0.8402092050084602,0.4018476235585957,-0.4383615814498645,17.68777818731631,17.19115695320831,-0.49662123410800163,28.670954226444763,GC,FL
GC/LBCL,Lymphoid Tissue,large B-cell lymphoma,6,11,1.3852579870803194,3.2760648697622585,1.890806882681939,0.5536165999874121,1.4639099906503306,0.9102933906629185,0.8402092050084602,0.4816789711293065,-0.35853023387915367,17.68777818731631,12.686540430791958,-5.001237756524354,26.277790344425952,GC,LBCL
KID/RCC,Kidney,renal cell carcinoma,12,11,3.3476604029805483,3.133412473189423,-0.21424792979112528,1.4215419414010457,1.356494510282692,-0.06504743111835376,0.4068115472797706,0.45017274025858134,0.04336119297881075,16.744116258130475,27.88203263885252,11.137916380722046,17.16409086737303,KID,RCC
LU/LUAD,Lung,lung adenocarcinoma,7,11,1.9313875640879978,2.761039377725547,0.8296518136375493,0.8837869212258502,1.3191086035194655,0.43532168229361523,0.6772075767910944,0.5441480489851065,-0.13305952780598795,21.418059941761978,25.73666273936914,4.318602797607163,15.243724594175744,LU,LUAD
OV/OVAD,Ovary,ovarian adenocarcinoma,4,11,2.1624281820529827,2.431249603264098,0.2688214212111153,0.905705480255623,1.1991331663153373,0.29342768605971425,0.6143106848545944,0.5807467275183767,-0.03356395733621764,14.984916915850025,25.33149097391106,10.346574058061034,25.847101081968628,OV,OVAD
PA/PAAD,Pancreas,pancreatic adenocarcinoma,10,10,2.7962788841308033,2.3836749381914024,-0.41260394593940086,1.3024659145791408,1.2168226193031053,-0.08564329527603554,0.5365435336199047,0.6070194142068973,0.07047588058699261,21.42573886062881,23.13209230617884,1.7063534455500289,24.020789985553506,PA,PAAD
PR/PRAD,Prostate,prostate adenocarcinoma,9,10,2.8575956744638136,3.7555395605943374,0.8979438861305238,1.2854052515013783,1.4692924887278758,0.18388723722649747,0.5164710278852703,0.3799811023510161,-0.1364899255342542,15.971065310151992,21.76536102045806,5.794295710306066,12.516527930872783,PR,PRAD
UT/EAC,Uterus,uterine adenocarcinoma,6,10,1.4073203600313413,3.8038396655731472,2.3965193055418057,0.5842019281179199,1.5323398995116058,0.9481379713936858,0.834410479584897,0.40563700758005816,-0.42877347200483884,23.442825444451405,28.4148162332082,4.971990788756795,26.499227794457173,UT,EAC
